"seccion_censal","lat_centro","lon_centro"
"2807905066",40.45684613,-3.68205791
"2807905067",40.45600083,-3.68549161
"2807905068",40.4538821,-3.68862625
"2807905069",40.45769404,-3.68877107
"2807905070",40.46117473,-3.68883821
"2807905072",40.46135026,-3.68698426
"2807905073",40.46061639,-3.68606824
"2807905074",40.4610137,-3.68337113
"2807905075",40.4634167,-3.68226914
"2807905076",40.4655162,-3.68442071
"2807905077",40.46476855,-3.67809366
"2807905078",40.4616954,-3.67804751
"2807905079",40.45944616,-3.67908131
"2807905080",40.45948149,-3.67615551
"2807905081",40.45936406,-3.67239846
"2807905082",40.46405633,-3.67416792
"2807905083",40.46155655,-3.67155758
"2807905084",40.46282396,-3.6684844
"2807905085",40.46923617,-3.67339901
"2807905086",40.46894451,-3.68476712
"2807905087",40.46759093,-3.68659419
"2807905088",40.46842687,-3.68801737
"2807905089",40.47045915,-3.68728201
"2807905090",40.4726519,-3.68664116
"2807905091",40.47515892,-3.68498311
"2807905092",40.47749665,-3.68518331
"2807905093",40.47932756,-3.6845402
"2807905094",40.47743596,-3.68030425
"2807905095",40.44514663,-3.6660561
"2807905096",40.44527762,-3.67582248
"2807905097",40.45497681,-3.68142366
"2807905098",40.45617931,-3.67654888
"2807905099",40.45011403,-3.66370408
"2807905100",40.47017507,-3.67908084
"2807905101",40.4755924,-3.67537862
"2807905102",40.44663767,-3.6654449
"2807906001",40.44821164,-3.70775119
"2807906002",40.44940278,-3.70715106
"2807906003",40.45050913,-3.70942504
"2807906004",40.45103097,-3.7083418
"2807906005",40.45081717,-3.70681401
"2807906006",40.45207232,-3.70718881
"2807906007",40.45307083,-3.70786862
"2807906008",40.45215858,-3.71008859
"2807906009",40.45321658,-3.71022312
"2807906010",40.45579981,-3.710065
"2807906011",40.45502712,-3.70827068
"2807906012",40.45533116,-3.70729566
"2807906013",40.45612519,-3.70642865
"2807906014",40.45492318,-3.70458991
"2807906015",40.45403377,-3.70668199
"2807906016",40.45350709,-3.70464886
"2807906017",40.45272889,-3.70554314
"2807906018",40.45173554,-3.70457976
"2807906019",40.45038331,-3.70471538
"2807906021",40.44856111,-3.70480074
"2807906023",40.44729822,-3.70533595
"2807906024",40.44705904,-3.70218564
"2807906025",40.44783964,-3.70120686
"2807906026",40.44731388,-3.69994032
"2807906027",40.44733705,-3.69818185
"2807906028",40.44866857,-3.69613555
"2807906029",40.4492791,-3.69313094
"2807906031",40.44890308,-3.69795523
"2807906032",40.44861076,-3.70042698
"2807906033",40.44863517,-3.70281804
"2807906034",40.44931037,-3.70034673
"2807906035",40.4500854,-3.70156452
"2807906036",40.45095414,-3.70170228
"2807906037",40.45030537,-3.69905424
"2807906038",40.45035823,-3.69752028
"2807906039",40.45162751,-3.69583633
"2807906040",40.45171303,-3.69737764
"2807906041",40.45197251,-3.69949774
